domain,sources,date_snapshotted,available,mbfc_tags,ng_tags,os_tags,pf_tags
bizstandardnews.com,Wikipedia;Buzzfeed16;Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,TRUE,,,,
blackgenocide.org,OpenSources;MBFC,,TRUE,Extreme Right;Propaganda,,conspiracy;bias;hate,
blackinsurancenews.com,PolitiFact;Allcott18,,FALSE,,,,
blackinusrancenews.com,OpenSources,,FALSE,,,fake;unreliable,
blacklistednews.com,OpenSources,,TRUE,,,clickbait;unreliable,
blackpigeonspeaks.com,MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy,,,
blingnews.com,FactCheck;MBFC,,TRUE,Extreme Right;Fake News,,,
blockshopper.com,NYTimesPinkSlime,,,,,,
blog.veterantv.net,PolitiFact;Allcott18,,FALSE,,,,
bloodandsoil.org,MBFC,,TRUE,Extreme Right;Hate Group,,,
bloomberg.ma,Wikipedia,,FALSE,,,,
bloomingtonleader.com,NYTimesPinkSlime,,,,,,
bluegrasstimes.com,NYTimesPinkSlime,,,,,,
bluehillguide.com,NYTimesPinkSlime,,,,,,
blueinformer.com,MBFC,,FALSE,Extreme Right;Propaganda,,,
bluelinestrong.net,PolitiFact;Allcott18,,FALSE,,,,
bluenationreview.com,OpenSources,,TRUE,,,clickbait;unreliable,
bluestonenews.com,NYTimesPinkSlime,,,,,,
bluetribune.com,MBFC,,FALSE,,,,
bluevision.news,MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Some Fake News,,,
bluevisionpost.com,MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Propaganda,,,
bluntforcetruth.com,MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy,,,
body2diefor.com,NewsGuard,,TRUE,,ownership;management;newsOpinion;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
boisecitywire.com,NYTimesPinkSlime,,,,,,
bongino.com,NewsGuard,,TRUE,,management;contentCreators;ownership;basicStandards;newsOpinion;accountabilityPractices,,
boonecountyguide.com,NYTimesPinkSlime,,,,,,
borderherald.com,Buzzfeed17;Allcott18;Grinberg19,,FALSE,,,,
borderlandalternativemedia.com,MBFC,,FALSE,Extreme Right;Propaganda;Conspiracy,,,
boston-post.com,Buzzfeed18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
bostonleader.com,OpenSources;Buzzfeed17;PolitiFact;Allcott18;Grinberg19,,TRUE,,,fake,
bostontribune.com,OpenSources;PolitiFact;Allcott18,,FALSE,,,satire;fake,
boulderleader.com,NYTimesPinkSlime,,,,,,
bowlinggreentoday.com,NYTimesPinkSlime,,,,,,
boyervalleynews.com,NYTimesPinkSlime,,,,,,
bpsmoguide.com,NYTimesPinkSlime,,,,,,
branchguide.com,NYTimesPinkSlime,,,,,,
bransontimes.com,NYTimesPinkSlime,,,,,,
breaking-cnn.com,Wikipedia;Buzzfeed18,,FALSE,,,,
breaking911.com,OpenSources;MBFC,,TRUE,Clickbait;Some Fake News,,clickbait;unreliable,
breakingnews247.net,Snopes;Buzzfeed17;Buzzfeed18;PolitiFact;Allcott18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
breakingnews365.net,Snopes;Buzzfeed17;Buzzfeed18;PolitiFact;Allcott18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
breakingnewsblast.com,PolitiFact;Allcott18,,FALSE,,,,
breakingtop.world,MBFC;PolitiFact;Allcott18;Grinberg19,,FALSE,Extreme Right;Propaganda,,,
breitbart.com,OpenSources;MBFC;NewsGuard,,TRUE,Extreme Right;Propaganda;Conspiracy;Failed Fact Checks,ownership;newsOpinion;basicStandards;accountabilityPractices,political;unreliable;bias,
brevardsun.com,NYTimesPinkSlime,,,,,,
bridgeporttimes.com,NYTimesPinkSlime,,,,,,
brightside.me,NewsGuard,,TRUE,,basicStandards;newsOpinion;accountabilityPractices;management;contentCreators,,
bristolreporter.com,NYTimesPinkSlime,,,,,,
britainfirst.tv,MBFC,,FALSE,Extreme Right;Propaganda;Anti-Islam;Hate Group,,,
brotherjohnf.com,OpenSources,,FALSE,,,bias;conspiracy,
buchanancountynews.com,NYTimesPinkSlime,,,,,,
buckeyereporter.com,NYTimesPinkSlime,,,,,,
buffaloledger.com,NYTimesPinkSlime,,,,,,
bullionbullscanada.com,OpenSources,,FALSE,,,conspiracy,
burlingtonreporter.com,NYTimesPinkSlime,,,,,,
burlingtonreview.com,NYTimesPinkSlime,,,,,,
burlingtonstandard.com,NYTimesPinkSlime,,,,,,
burrardstreetjournal.com,OpenSources;Snopes;CBS;Buzzfeed16;Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,TRUE,,,satire,
bustatroll.org,NewsGuard,,TRUE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
butam.net,FactCheck;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
butlerconews.com,NYTimesPinkSlime,,,,,,
butlercountytoday.com,NYTimesPinkSlime,,,,,,
butthatsnoneofmybusiness.com,Allcott18;Grinberg19,,FALSE,,,,
buzzfeedusa.com,OpenSources;PolitiFact;Allcott18;Grinberg19,,FALSE,,,fake;rumor,
bvanews.com,OpenSources;Wikipedia,,FALSE,,,unreliable;bias;fake,
cabarrustoday.com,NYTimesPinkSlime,,,,,,
cabusinessdaily.com,NYTimesPinkSlime,,,,,,
cair.com,MBFC,,TRUE,Poor Sourcing;Questionable Funding;Pseudoscience,,,
calaverasguide.com,NYTimesPinkSlime,,,,,,
cambriatimes.com,NYTimesPinkSlime,,,,,,
